hs1	11874	14409	2
hs1	14362	29370	2
hs1	69091	70008	2
hs1	132569	468683	2
hs1	134773	140566	2
hs7	144445	149438	2
hs7	149718	155461	2
hs7	174920	176013	2
hs7	192571	300738	2
hs19	361747	376026	2
hs1	367659	368597	2
hs11	369499	382117	2
hs11	392596	404908	2
hs19	405445	409147	2
hs11	405716	417397	2
hs19	416583	460996	2
hs16	416969	420538	2
hs11	417938	442011	2
hs7	419391	422845	2
hs16	432241	442960	2
hs16	447199	450754	2
hs11	450279	491399	2
hs16	451885	462482	2
hs19	463361	474983	2
hs11	494515	506768	2
hs19	496486	505343	2
hs19	507497	519654	2
hs16	524924	573011	2
hs19	531760	542087	2
hs11	532242	535576	2
hs7	536896	559481	2
hs11	537527	554912	2
hs19	544053	549922	2
hs11	554850	560738	2
hs7	560028	564869	2
hs11	560970	564025	2
hs1	562760	564389	2
hs11	565657	568457	2
hs11	568089	568198	2
hs19	572596	583493	2
hs11	573808	575885	2
hs11	576470	612222	2
hs16	576847	577407	2
hs16	577712	604636	2
hs16	585316	585368	2
hs7	588834	752844	2
hs19	589881	617159	2
hs16	593277	593366	2
hs16	610394	615529	2
hs11	612555	615950	2
hs11	616565	624955	2
hs16	617005	619495	2
hs19	617221	633537	2
hs16	619968	634138	2
hs11	626309	627181	2
hs11	637269	640705	2
hs16	639669	679273	2
hs19	639879	644373	2
hs11	644220	695754	2
hs4	646966	664571	2
hs19	647526	663214	2
hs1	661139	714014	2
hs4	668331	675817	2
hs19	676392	683385	2
hs16	680985	684117	2
hs16	684430	686305	2
hs19	685546	695452	2
hs16	691828	698474	2
hs11	695816	704129	2
hs16	698458	699313	2
hs16	699365	717830	2
hs4	699621	764768	2
hs11	706231	727727	2
hs19	708935	748329	2
hs16	718132	724171	2
hs16	726064	728268	2
hs16	730410	732801	2
hs16	731670	734334	2
hs16	734622	740398	2
hs16	742500	755801	2
hs11	747464	765012	2
hs19	751112	764318	2
hs1	752751	755214	2
hs1	761586	762902	2
hs1	762971	794826	2
hs16	765118	769655	2
hs16	772582	776443	2
hs4	773937	775636	2
hs16	777106	779715	2
hs11	777578	784284	2
hs4	778745	819917	2
hs11	787115	790090	2
hs11	790475	796238	2
hs19	797452	812312	2
hs11	799184	805231	2
hs1	803451	812182	2
hs19	804940	805001	2
hs11	809967	812876	2
hs16	811073	818865	2
hs11	811681	811814	2
hs19	812488	821952	2
hs19	813584	813653	2
hs11	818914	825571	2
hs16	820183	820277	2
hs19	827837	832018	2
hs11	828260	831991	2
hs11	832952	838835	2
hs16	834974	838381	2
hs16	838620	848074	2
hs11	839721	842529	2
hs19	840999	848175	2
hs11	842941	867116	2
hs4	843065	926104	2
hs16	848041	850734	2
hs1	852198	855072	2
hs19	852303	856243	2
hs16	855443	863861	2
hs7	856280	914571	2
hs19	859664	863641	2
hs1	861111	879954	2
hs11	867859	910810	2
hs19	867963	893187	2
hs1	879583	894636	2
hs1	895964	901099	2
hs19	896503	913219	2
hs1	901862	911245	2
